confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.497872,2,4,1330,"Make_statement(X0,X2,T3)<-Consult(X0,X1,T0)&inv_Discuss_by_telephone(X1,X0,T1)&Make_an_appeal_or_request(X0,X2,T2)",Make_statement
0.428224,3,7,1330,"Make_statement(X0,X2,T3)<-inv_Express_intent_to_release_persons_or_property(X0,X1,T0)&Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.341146,29,85,1330,"Make_statement(X0,X2,T3)<-inv_Occupy_territory(X0,X1,T0)&Occupy_territory(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.335227,1,3,1330,"Make_statement(X0,X2,T2)<-Bring_lawsuit_against(X0,X1,T0)&Praise_or_endorse(X1,X2,T1)",Make_statement
0.333333,4,12,1330,"Make_statement(X0,X1,T3)<-Discuss_by_telephone(X0,X1,T0)&Consult(X1,X0,T1)&Express_intent_to_cooperate(X0,X1,T2)",Make_statement
0.30879,21,68,1330,"Make_statement(X0,X2,T3)<-Make_optimistic_comment(X0,X1,T0)&inv_Consult(X1,X0,T1)&Express_intent_to_meet_or_negotiate(X0,X2,T2)",Make_statement
1.0,3,3,1330,"Make_statement(X0,X2,T2)<-Praise_or_endorse(X0,X1,T0)&Receive_deployment_of_peacekeepers(X1,X2,T1)",Make_statement
0.748936,3,4,1330,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Engage_in_negotiation(X1,X0,T1)&inv_Engage_in_diplomatic_cooperation(X0,X1,T2)",Make_statement
0.748936,3,4,1330,"Make_statement(X0,X3,T3)<-Praise_or_endorse(X0,X1,T0)&Use_unconventional_violence(X1,X2,T1)&inv_Make_optimistic_comment(X2,X3,T2)",Make_statement
0.715328,5,7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Appeal_for_economic_aid(X1,X2,T1)&inv_Use_tactics_of_violent_repression(X2,X1,T2)",Make_statement
0.571776,4,7,1330,"Make_statement(X0,X3,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Mediate(X2,X3,T2)",Make_statement
