confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.533485,  16,  30,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&Use_unconventional_violence(X2,X1,T2)",Make_statement
0.461337,   6,  13,1330,"Make_statement(X0,X2,T3)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.428224,   3,   7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Express_intent_to_cooperate_militarily(X1,X2,T1)&Express_intent_to_cooperate_militarily(X2,X1,T2)",Make_statement
0.366629,  11,  30,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Sign_formal_agreement(X1,X2,T1)&inv_Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X2,X1,T2)",Make_statement
0.341215,  72, 211,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)&inv_Engage_in_diplomatic_cooperation(X2,X1,T2)",Make_statement
0.333712,   5,  15,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Investigate(X2,X1,T2)",Make_statement
0.294283,  98, 333,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.289427,  11,  38,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_optimistic_comment(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.285888,   8,  28,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
0.285483,   6,  21,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.260994, 267,1023,1330,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.251064,   1,   4,1330,"Make_statement(X0,X1,T1)<-Express_intent_to_provide_humanitarian_aid(X0,X1,T0)",Make_statement
0.244419,  11,  45,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Meet_at_a_'third'_location(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.238648,  63, 264,1330,"Make_statement(X0,X2,T3)<-inv_Host_a_visit(X0,X1,T0)&inv_Make_a_visit(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.237548,  19,  80,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.229636,  17,  74,1330,"Make_statement(X0,X1,T1)<-Make_optimistic_comment(X0,X1,T0)",Make_statement
0.212074,   7,  33,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.205044,  49, 239,1330,"Make_statement(X0,X2,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.196412,  11,  56,1330,"Make_statement(X0,X1,T1)<-inv_Discuss_by_telephone(X0,X1,T0)",Make_statement
0.187760,  43, 229,1330,"Make_statement(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&Meet_at_a_'third'_location(X1,X2,T1)&Meet_at_a_'third'_location(X2,X1,T2)",Make_statement
0.181631,   6,  33,1330,"Make_statement(X0,X1,T1)<-Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)",Make_statement
0.177667,  43, 242,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Host_a_visit(X1,X2,T1)&inv_Make_a_visit(X2,X1,T2)",Make_statement
0.170169,  24, 141,1330,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Accuse(X2,X3,T2)",Make_statement
0.168825,  91, 539,1330,"Make_statement(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.157592,  55, 349,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Consult(X2,X1,T2)",Make_statement
0.148642,  11,  74,1330,"Make_statement(X0,X1,T1)<-inv_Make_optimistic_comment(X0,X1,T0)",Make_statement
0.139254,  11,  79,1330,"Make_statement(X0,X2,T2)<-Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&Accuse(X1,X2,T1)",Make_statement
0.139208,  27, 194,1330,"Make_statement(X0,X1,T1)<-inv_Engage_in_negotiation(X0,X1,T0)",Make_statement
0.139208,  27, 194,1330,"Make_statement(X0,X1,T1)<-Engage_in_negotiation(X0,X1,T0)",Make_statement
0.138836,  10,  72,1330,"Make_statement(X0,X1,T1)<-inv_Meet_at_a_'third'_location(X0,X1,T0)",Make_statement
0.137370, 100, 728,1330,"Make_statement(X0,X3,T3)<-inv_Consult(X0,X1,T0)&Consult(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.131720,   5,  38,1330,"Make_statement(X0,X1,T3)<-Investigate(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.131161,  56, 427,1330,"Make_statement(X0,X1,T1)<-inv_Host_a_visit(X0,X1,T0)",Make_statement
0.129050,   4,  31,1330,"Make_statement(X0,X2,T2)<-Investigate(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.124468,   2,  16,1330,"Make_statement(X0,X1,T3)<-inv_Use_conventional_military_force(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.119173,   5,  42,1330,"Make_statement(X0,X3,T3)<-inv_Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X2,T1)&Engage_in_diplomatic_cooperation(X2,X3,T2)",Make_statement
0.115405,  15, 130,1330,"Make_statement(X0,X1,T1)<-Demand(X0,X1,T0)",Make_statement
0.108535,   9,  83,1330,"Make_statement(X0,X2,T2)<-Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&inv_Criticize_or_denounce(X1,X2,T1)",Make_statement
0.102620,   4,  39,1330,"Make_statement(X0,X1,T1)<-Make_pessimistic_comment(X0,X1,T0)",Make_statement
0.102306,  13, 127,1330,"Make_statement(X0,X3,T3)<-Consult(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X3,T2)",Make_statement
0.100511,   1,  10,1330,"Make_statement(X0,X1,T1)<-Provide_economic_aid(X0,X1,T0)",Make_statement
0.100511,   1,  10,1330,"Make_statement(X0,X1,T1)<-inv_Reduce_or_break_diplomatic_relations(X0,X1,T0)",Make_statement
