confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
1.000000,   1,   1,1330,"Make_statement(X0,X3,T3)<-inv_Engage_in_negotiation(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&inv_Mobilize_or_increase_armed_forces(X2,X3,T2)",Make_statement
0.916746,  33,  36,1330,"Make_statement(X0,X2,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X2,T2)",Make_statement
0.500000,   3,   6,1330,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Appeal_for_change_in_leadership(X1,X2,T1)",Make_statement
0.428224,   3,   7,1330,"Make_statement(X0,X2,T3)<-inv_Deny_responsibility(X0,X1,T0)&inv_Accuse(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.397959,   2,   5,1330,"Make_statement(X0,X2,T3)<-inv_Criticize_or_denounce(X0,X1,T0)&inv_Make_optimistic_comment(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.385409,  42, 109,1330,"Make_statement(X0,X1,T3)<-Demand(X0,X1,T0)&Consult(X1,X2,T1)&Consult(X2,X1,T2)",Make_statement
0.332386,   2,   6,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Make_optimistic_comment(X1,X2,T1)&Praise_or_endorse(X2,X1,T2)",Make_statement
0.312766,   5,  16,1330,"Make_statement(X0,X1,T3)<-inv_Make_an_appeal_or_request(X0,X1,T0)&Engage_in_diplomatic_cooperation(X1,X2,T1)&Engage_in_diplomatic_cooperation(X2,X1,T2)",Make_statement
0.281160,  88, 313,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Sign_formal_agreement(X1,X2,T1)&inv_Sign_formal_agreement(X2,X1,T2)",Make_statement
0.267629,  72, 269,1330,"Make_statement(X0,X3,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&Make_optimistic_comment(X2,X3,T2)",Make_statement
0.263441,   5,  19,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Accuse(X1,X0,T1)&Make_statement(X0,X1,T2)",Make_statement
0.261667, 112, 428,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
0.261487, 273,1044,1330,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.236197,  77, 326,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Engage_in_negotiation(X1,X2,T1)&Engage_in_negotiation(X2,X1,T2)",Make_statement
0.233438,  81, 347,1330,"Make_statement(X0,X2,T3)<-Consult(X0,X1,T0)&Consult(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.229636,  17,  74,1330,"Make_statement(X0,X1,T1)<-Make_optimistic_comment(X0,X1,T0)",Make_statement
0.222327,  20,  90,1330,"Make_statement(X0,X1,T3)<-Reject_proposal_to_meet,_discuss,_or_negotiate(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Consult(X2,X1,T2)",Make_statement
0.200680,   1,   5,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_a_visit(X0,X1,T2)",Make_statement
0.200272,   5,  25,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Engage_in_negotiation(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.196412,  11,  56,1330,"Make_statement(X0,X1,T1)<-inv_Discuss_by_telephone(X0,X1,T0)",Make_statement
0.181537,  53, 292,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Express_intent_to_cooperate(X1,X2,T1)&Express_intent_to_cooperate(X2,X1,T2)",Make_statement
0.179456,  28, 156,1330,"Make_statement(X0,X1,T1)<-inv_Sign_formal_agreement(X0,X1,T0)",Make_statement
0.167614,   1,   6,1330,"Make_statement(X0,X1,T1)<-Appeal_for_release_of_persons_or_property(X0,X1,T0)",Make_statement
0.165438,  89, 538,1330,"Make_statement(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.164373,  36, 219,1330,"Make_statement(X0,X3,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&inv_Express_intent_to_cooperate(X2,X3,T2)",Make_statement
0.158322, 117, 739,1330,"Make_statement(X0,X3,T3)<-inv_Consult(X0,X1,T0)&inv_Consult(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.149787,   3,  20,1330,"Make_statement(X0,X1,T1)<-Impose_administrative_sanctions(X0,X1,T0)",Make_statement
0.145263,  26, 179,1330,"Make_statement(X0,X1,T1)<-Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)",Make_statement
0.139208,  27, 194,1330,"Make_statement(X0,X1,T1)<-Engage_in_negotiation(X0,X1,T0)",Make_statement
0.139208,  27, 194,1330,"Make_statement(X0,X1,T1)<-inv_Engage_in_negotiation(X0,X1,T0)",Make_statement
0.134372, 215,1600,1330,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.133325,  72, 540,1330,"Make_statement(X0,X1,T1)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.132804,   2,  15,1330,"Make_statement(X0,X2,T2)<-inv_Meet_at_a_'third'_location(X0,X1,T0)&Demand(X1,X2,T1)",Make_statement
0.130547,  56, 429,1330,"Make_statement(X0,X1,T1)<-Make_a_visit(X0,X1,T0)",Make_statement
0.115405,  15, 130,1330,"Make_statement(X0,X1,T1)<-Demand(X0,X1,T0)",Make_statement
0.106522,   5,  47,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&inv_Express_intent_to_cooperate(X2,X1,T2)",Make_statement
0.100511,   1,  10,1330,"Make_statement(X0,X1,T1)<-inv_Provide_economic_aid(X0,X1,T0)",Make_statement
0.096536,  14, 145,1330,"Make_statement(X0,X2,T2)<-inv_Accuse(X0,X1,T0)&inv_fight_with_small_arms_and_light_weapons(X1,X2,T1)",Make_statement
0.088382,  13, 147,1330,"Make_statement(X0,X3,T3)<-inv_Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Make_a_visit(X2,X3,T2)",Make_statement
0.084947,  75, 883,1330,"Make_statement(X0,X1,T1)<-inv_Consult(X0,X1,T0)",Make_statement
0.079245,   8, 101,1330,"Make_statement(X0,X1,T1)<-Reject(X0,X1,T0)",Make_statement
0.076909,  14, 182,1330,"Make_statement(X0,X2,T2)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&Criticize_or_denounce(X1,X2,T1)",Make_statement
0.076754,  67, 873,1330,"Make_statement(X0,X1,T1)<-Consult(X0,X1,T0)",Make_statement
0.076069,  14, 184,1330,"Make_statement(X0,X3,T3)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Use_conventional_military_force(X1,X2,T1)&inv_Make_statement(X2,X3,T2)",Make_statement
0.073089,  16, 219,1330,"Make_statement(X0,X1,T1)<-Accuse(X0,X1,T0)",Make_statement
0.071776,   1,  14,1330,"Make_statement(X0,X1,T3)<-Praise_or_endorse(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)&Consult(X2,X1,T2)",Make_statement
0.070110,  46, 656,1330,"Make_statement(X0,X2,T2)<-Consult(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.067289,   7, 104,1330,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Provide_humanitarian_aid(X1,X2,T1)",Make_statement
0.065875,   5,  76,1330,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Demand(X1,X2,T1)",Make_statement
0.065149,   6,  92,1330,"Make_statement(X0,X1,T3)<-Criticize_or_denounce(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.062767,  15, 239,1330,"Make_statement(X0,X2,T2)<-inv_Criticize_or_denounce(X0,X1,T0)&inv_Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)",Make_statement
0.056609,  15, 265,1330,"Make_statement(X0,X2,T2)<-Praise_or_endorse(X0,X1,T0)&inv_Engage_in_negotiation(X1,X2,T1)",Make_statement
0.056086,  17, 303,1330,"Make_statement(X0,X2,T2)<-inv_Host_a_visit(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.052747,  27, 512,1330,"Make_statement(X0,X2,T2)<-Consult(X0,X1,T0)&inv_Host_a_visit(X1,X2,T1)",Make_statement
0.052138,  16, 307,1330,"Make_statement(X0,X1,T1)<-Praise_or_endorse(X0,X1,T0)",Make_statement
0.051764,  13, 251,1330,"Make_statement(X0,X1,T1)<-inv_Criticize_or_denounce(X0,X1,T0)",Make_statement
0.049536,   6, 121,1330,"Make_statement(X0,X3,T3)<-inv_Make_statement(X0,X1,T0)&Make_statement(X1,X2,T1)&Reject(X2,X3,T2)",Make_statement
0.046588,  24, 515,1330,"Make_statement(X0,X1,T1)<-Make_an_appeal_or_request(X0,X1,T0)",Make_statement
0.044513,  24, 539,1330,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.044097,  46,1043,1330,"Make_statement(X0,X1,T1)<-inv_Make_statement(X0,X1,T0)",Make_statement
0.043826,  11, 251,1330,"Make_statement(X0,X1,T1)<-Criticize_or_denounce(X0,X1,T0)",Make_statement
0.043671,   1,  23,1330,"Make_statement(X0,X1,T1)<-Occupy_territory(X0,X1,T0)",Make_statement
0.040453,   7, 173,1330,"Make_statement(X0,X1,T1)<-Use_conventional_military_force(X0,X1,T0)",Make_statement
0.039508,  29, 734,1330,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.039359,  12, 305,1330,"Make_statement(X0,X1,T1)<-inv_Praise_or_endorse(X0,X1,T0)",Make_statement
0.038368,  15, 391,1330,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Sign_formal_agreement(X1,X2,T1)",Make_statement
0.037425,  14, 374,1330,"Make_statement(X0,X1,T1)<-Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0)",Make_statement
0.036667,  11, 300,1330,"Make_statement(X0,X1,T3)<-inv_Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Consult(X2,X1,T2)",Make_statement
0.035888,   1,  28,1330,"Make_statement(X0,X3,T3)<-Demand(X0,X1,T0)&inv_Threaten(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
