confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.374468,3,8,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Express_intent_to_cooperate_militarily(X1,X2,T1)&Express_intent_to_cooperate_militarily(X2,X1,T2)",Make_statement
0.29983,3,10,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Investigate(X2,X1,T2)",Make_statement
0.248936,2,8,1330,"Make_statement(X0,X1,T1)<-Express_accord(X0,X1,T0)",Make_statement
0.10262,4,39,1330,"Make_statement(X0,X1,T1)<-Make_pessimistic_comment(X0,X1,T0)",Make_statement
0.043671,1,23,1330,"Make_statement(X0,X2,T3)<-Engage_in_diplomatic_cooperation(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
1.0,3,3,1036,"Consult(X0,X2,T3)<-Make_pessimistic_comment(X0,X1,T0)&inv_Criticize_or_denounce(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X2,T2)",Consult
0.750355,9,12,1036,"Consult(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X1,T2)",Consult
0.335227,1,3,1036,"Consult(X0,X2,T3)<-inv_Make_statement(X0,X1,T0)&Make_pessimistic_comment(X1,X0,T1)&inv_Sign_formal_agreement(X0,X2,T2)",Consult
0.125532,1,8,1036,"Consult(X0,X1,T1)<-Express_accord(X0,X1,T0)",Consult
0.111531,1,9,1036,"Consult(X0,X2,T3)<-inv_Make_an_appeal_or_request(X0,X1,T0)&inv_Consult(X1,X0,T1)&inv_Consult(X0,X2,T2)",Consult
0.080909,28,346,1036,"Consult(X0,X1,T3)<-inv_Engage_in_diplomatic_cooperation(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Consult
0.033766,2,59,1036,"Consult(X0,X1,T1)<-Engage_in_symbolic_act(X0,X1,T0)",Consult
0.027673,2,72,1036,"Consult(X0,X2,T2)<-Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1)",Consult
