confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.264443,270,1021,1330,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.261271,232,888,1036,"Consult(X0,X1,T1)<-inv_Consult(X0,X1,T0)",Consult
0.260876,228,874,1036,"Consult(X0,X1,T1)<-Consult(X0,X1,T0)",Consult
0.270371,146,540,1036,"Consult(X0,X1,T1)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)",Consult
0.166052,89,536,1330,"Make_statement(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.277168,148,534,1036,"Consult(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Consult
0.128808,55,427,1330,"Make_statement(X0,X1,T1)<-inv_Host_a_visit(X0,X1,T0)",Make_statement
0.198905,73,367,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Consult(X2,X1,T2)",Make_statement
0.230536,83,360,1036,"Consult(X0,X2,T3)<-Consult(X0,X1,T0)&Consult(X1,X0,T1)&Consult(X0,X2,T2)",Consult
0.18911,66,349,1036,"Consult(X0,X2,T3)<-Consult(X0,X1,T0)&Consult(X1,X0,T1)&inv_Consult(X0,X2,T2)",Consult
0.249987,83,332,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.237662,77,324,1036,"Consult(X0,X2,T3)<-Make_a_visit(X0,X1,T0)&Host_a_visit(X1,X0,T1)&inv_Consult(X0,X2,T2)",Consult
0.261162,76,291,1036,"Consult(X0,X2,T3)<-inv_Consult(X0,X1,T0)&inv_Consult(X1,X0,T1)&Express_intent_to_meet_or_negotiate(X0,X2,T2)",Consult
