kulczynski,confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.674011,0.706279,618,875,963,"Position_held(X0,X1,T1)<-Position_held(X0,X1,T0)",Position_held
0.278794,0.525025,31,59,963,"Position_held(X0,X2,T3)<-inv_Head_of_government(X0,X1,T0)&Head_of_government(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.209349,0.400257,18,45,963,"Position_held(X0,X2,T3)<-Spouse(X0,X1,T0)&inv_Spouse(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.209025,0.396721,21,53,963,"Position_held(X0,X2,T3)<-Spouse(X0,X1,T0)&Spouse(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.291598,0.297619,275,924,963,"Position_held(X0,X1,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X2,T1)&Position_held(X2,X1,T2)",Position_held
0.301636,0.604651,3,5,920,"Position_held(X0,X2,T3)<-Member_of(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.268601,0.527439,10,19,920,"Position_held(X0,X2,T3)<-Significant_event(X0,X1,T0)&inv_Significant_event(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.216207,0.390272,39,100,920,"Position_held(X0,X2,T3)<-Employer(X0,X1,T0)&inv_Employer(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.270567,0.345483,180,521,920,"Position_held(X0,X1,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X0,T1)&Position_held(X0,X1,T2)",Position_held
0.136987,0.253282,19,75,920,"Position_held(X0,X2,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.232545,0.438579,25,57,944,"Position_held(X0,X2,T3)<-inv_Spouse(X0,X1,T0)&inv_Spouse(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.177719,0.345309,10,29,944,"Position_held(X0,X2,T3)<-Country_of_citizenship(X0,X1,T0)&inv_Country_of_citizenship(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.268514,0.519313,14,27,757,"Position_held(X0,X2,T3)<-Employer(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.235713,0.377579,71,188,757,"Position_held(X0,X2,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.145824,0.268362,22,82,942,"Position_held(X0,X2,T3)<-Residence(X0,X1,T0)&inv_Residence(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.262493,0.500000,25,50,1001,"Position_held(X0,X2,T3)<-inv_Spouse(X0,X1,T0)&Spouse(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.127309,0.250000,4,16,865,"Position_held(X0,X2,T3)<-Award_received(X0,X1,T0)&inv_Award_received(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held
0.095094,0.171901,6,35,321,"Award_received(X0,X2,T3)<-inv_Winner(X0,X1,T0)&inv_Award_received(X1,X0,T1)&Award_received(X0,X2,T2)",Award_received
0.161074,0.169471,49,289,321,"Award_received(X0,X1,T3)<-Award_received(X0,X1,T0)&inv_Award_received(X1,X2,T1)&Award_received(X2,X1,T2)",Award_received
0.248471,0.163598,107,654,321,"Award_received(X0,X1,T1)<-Award_received(X0,X1,T0)",Award_received
0.171133,0.335484,3,9,337,"Award_received(X0,X2,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X0,T1)&Award_received(X0,X2,T2)",Award_received
0.100211,0.188406,3,16,233,"Award_received(X0,X2,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X0,T1)&Award_received(X0,X2,T2)",Award_received
0.21088,0.103442,127,1228,399,"Award_received(X0,X3,T3)<-Award_received(X0,X1,T0)&inv_Award_received(X1,X2,T1)&Award_received(X2,X3,T2)",Award_received
0.714676,0.813750,1350,1659,2193,"Located_in_the_administrative_territorial_entity(X0,X1,T1)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)",Located_in_the_administrative_territorial_entity
