confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel,example
0.827006,1431,1730,7219,"Position_held(X0,X1,T1)<-Position_held(X0,X1,T0)",Position_held,"Position_held(Ludwig_Von_Tetmajer,Academic_Rector,T1)<-Position_held(Ludwig_Von_Tetmajer,Academic_Rector,T0)"
0.753106, 214, 284,7219,"Position_held(X0,X2,T3)<-Employer(X0,X1,T0)&inv_Employer(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(Ernst_Stuckelberg,Chair(Professorship),T3)<-Employer(Ernst_Stuckelberg,University_Of_Geneva,T0)&inv_Employer(University_Of_Geneva,Ernst_Stuckelberg,T1)&Position_held(Ernst_Stuckelberg,Chair(Professorship),T2)"
0.709251,  71, 100,7219,"Position_held(X0,X2,T3)<-Country_of_citizenship(X0,X1,T0)&inv_Country_of_citizenship(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(William_Christie_(Conductor),Director_(Business),T3)<-Country_of_citizenship(William_Christie_(Conductor),Iso_3166-1:Fr,T0)&inv_Country_of_citizenship(Iso_3166-1:Fr,William_Christie_(Conductor),T1)&Position_held(William_Christie_(Conductor),Director_(Business),T2)"
0.665612, 278, 418,7219,"Position_held(X0,X2,T3)<-inv_Head_of_government(X0,X1,T0)&Head_of_government(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(Dietrich_Stobbe,List_Of_Mayors_Of_Berlin,T3)<-inv_Head_of_government(Dietrich_Stobbe,Berlim,T0)&Head_of_government(Berlim,Dietrich_Stobbe,T1)&Position_held(Dietrich_Stobbe,List_Of_Mayors_Of_Berlin,T2)"
0.663755,  67, 101,7219,"Position_held(X0,X2,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(Jürgen_Linden,Lady_Mayor,T3)<-Member_of_political_party(Jürgen_Linden,German_Social_Democrats,T0)&inv_Member_of_political_party(German_Social_Democrats,Jürgen_Linden,T1)&Position_held(Jürgen_Linden,Lady_Mayor,T2)"
0.640625,  18,  28,7219,"Position_held(X0,X2,T3)<-Award_received(X0,X1,T0)&inv_Award_received(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(Umberto_Veronesi,Representative_Director,T3)<-Award_received(Umberto_Veronesi,Honorary_Citizenship,T0)&inv_Award_received(Honorary_Citizenship,Umberto_Veronesi,T1)&Position_held(Umberto_Veronesi,Representative_Director,T2)"
0.573805, 365, 636,7219,"Position_held(X0,X1,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X0,T1)&Position_held(X0,X1,T2)",Position_held,"Position_held(Joseph_A_A_Burnquist,List_Of_Attorneys_General_Of_Minnesota,T3)<-Position_held(Joseph_A_A_Burnquist,List_Of_Attorneys_General_Of_Minnesota,T0)&inv_Position_held(List_Of_Attorneys_General_Of_Minnesota,Joseph_A_A_Burnquist,T1)&Position_held(Joseph_A_A_Burnquist,List_Of_Attorneys_General_Of_Minnesota,T2)"
0.563536,  45,  80,7219,"Position_held(X0,X2,T3)<-Spouse(X0,X1,T0)&Spouse(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(Duff_Cooper,Chancellor_Of_The_Duchy_Of_Lancaster,T3)<-Spouse(Duff_Cooper,Lady_Diana_Manners,T0)&Spouse(Lady_Diana_Manners,Duff_Cooper,T1)&Position_held(Duff_Cooper,Chancellor_Of_The_Duchy_Of_Lancaster,T2)"
0.562500,   4,   7,7219,"Position_held(X0,X2,T3)<-Member_of(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Position_held(X0,X2,T2)",Position_held,"Position_held(Jan_Josef_Loschmidt,Chair(Professorship),T3)<-Member_of(Jan_Josef_Loschmidt,Österreichische_Akademie_Der_Wissenschaften,T0)&inv_Member_of(Österreichische_Akademie_Der_Wissenschaften,Jan_Josef_Loschmidt,T1)&Position_held(Jan_Josef_Loschmidt,Chair(Professorship),T2)"
0.184345, 301,1633,4821,"Award_received(X0,X1,T1)<-Award_received(X0,X1,T0)",Award_received,"Award_received(André_Massena,Marshal_Of_The_Empire,T1)<-Award_received(André_Massena,Marshal_Of_The_Empire,T0)"
