confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.666667,  14,  21,1330,"Make_statement(X0,X3,T3)<-Engage_in_diplomatic_cooperation(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)&Mobilize_or_increase_armed_forces(X2,X3,T2)",Make_statement
0.497872,   2,   4,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Return,_release_person(s)(X2,X1,T2)",Make_statement
0.442371,  23,  52,1330,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.372175,  83, 223,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)&inv_Engage_in_diplomatic_cooperation(X2,X1,T2)",Make_statement
0.335227,   1,   3,1330,"Make_statement(X0,X1,T3)<-Make_an_appeal_or_request(X0,X1,T0)&Make_an_appeal_or_request(X1,X0,T1)&inv_Reject(X0,X1,T2)",Make_statement
0.333333,  40, 120,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&inv_Use_conventional_military_force(X2,X1,T2)",Make_statement
0.327933,  81, 247,1330,"Make_statement(X0,X2,T3)<-Make_optimistic_comment(X0,X1,T0)&inv_Make_optimistic_comment(X1,X0,T1)&Express_intent_to_meet_or_negotiate(X0,X2,T2)",Make_statement
0.296505, 102, 344,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.284672,   2,   7,1330,"Make_statement(X0,X2,T3)<-Make_an_appeal_or_request(X0,X1,T0)&Engage_in_negotiation(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.281533,   9,  32,1330,"Make_statement(X0,X1,T1)<-inv_Protest_violently,_riot(X0,X1,T0)",Make_statement
0.272962,   9,  33,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.264986, 274,1034,1330,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.258151, 103, 399,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Make_a_visit(X1,X2,T1)&inv_Host_a_visit(X2,X1,T2)",Make_statement
0.253319, 115, 454,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
0.248936,   2,   8,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Make_a_visit(X1,X0,T1)&Make_statement(X0,X1,T2)",Make_statement
0.232333,  79, 340,1330,"Make_statement(X0,X2,T3)<-inv_Consult(X0,X1,T0)&inv_Consult(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
