kulczynski,IR_score,lift_score,conviction_score,confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.500546,0.998904,9.330447,100.0,1.000000,2,2,1825,"Make_statement(X0,X2,T3)<-inv_fight_with_small_arms_and_light_weapons(X0,X1,T0)&fight_with_small_arms_and_light_weapons(X1,X0,T1)&Confiscate_property(X0,X2,T2)",Make_statement
0.500275,0.999452,9.330447,100.0,1.000000,1,1,1825,"Make_statement(X0,X1,T3)<-Make_a_visit(X0,X1,T0)&Meet_at_a_'third'_location(X1,X0,T1)&Express_intent_to_meet_or_negotiate(X0,X1,T2)",Make_statement
0.500821,0.998356,9.330447,100.0,1.000000,3,3,1825,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&Use_unconventional_violence(X2,X1,T2)",Make_statement
0.500275,0.999452,9.330447,100.0,1.000000,1,1,1825,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&inv_Expel_or_deport_individuals(X1,X2,T1)",Make_statement
0.250984,0.961601,4.565966,1.748448,0.489493,23,47,1825,"Make_statement(X0,X2,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.229641,0.973941,4.213751,1.628091,0.451400,14,31,1825,"Make_statement(X0,X2,T3)<-inv_Consult(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.209705,0.989629,3.887689,1.530556,0.417021,5,12,1825,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Praise_or_endorse(X2,X1,T2)",Make_statement
0.206813,0.968056,3.78261,1.501567,0.405430,15,37,1825,"Make_statement(X0,X2,T3)<-inv_Consult(X0,X1,T0)&inv_Discuss_by_telephone(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.178008,0.953739,3.229772,1.365496,0.346103,18,52,1825,"Make_statement(X0,X3,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&inv_Discuss_by_telephone(X1,X2,T1)&Make_an_appeal_or_request(X2,X3,T2)",Make_statement
0.174041,0.911734,3.079048,1.332573,0.329985,33,100,1825,"Make_statement(X0,X1,T3)<-Demand(X0,X1,T0)&Consult(X1,X2,T1)&Consult(X2,X1,T2)",Make_statement
0.175225,0.820213,2.932429,1.302036,0.314279,66,210,1825,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)&inv_Engage_in_diplomatic_cooperation(X2,X1,T2)",Make_statement
0.211213,0.31733,2.535446,1.225967,0.271739,275,1012,1825,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.116206,0.987466,2.153178,1.160671,0.230668,3,13,1825,"Make_statement(X0,X1,T1)<-Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)",Make_statement
0.119521,0.930393,2.143484,1.159105,0.229636,17,74,1825,"Make_statement(X0,X1,T1)<-Make_optimistic_comment(X0,X1,T0)",Make_statement
0.129565,0.690814,2.013949,1.138584,0.215828,79,366,1825,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Consult(X2,X1,T2)",Make_statement
0.096512,0.963881,1.765218,1.101149,0.189139,7,37,1825,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&inv_Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)",Make_statement
0.097763,0.933546,1.757912,1.100087,0.188302,13,69,1825,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&fight_with_small_arms_and_light_weapons(X1,X2,T1)",Make_statement
0.089149,0.954911,1.622686,1.080787,0.174010,8,46,1825,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.107835,0.564148,1.552204,1.070993,0.166347,90,541,1825,"Make_statement(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.076987,0.818775,1.298565,1.037172,0.139208,27,194,1825,"Make_statement(X0,X1,T1)<-Engage_in_negotiation(X0,X1,T0)",Make_statement
0.076987,0.818775,1.298565,1.037172,0.139208,27,194,1825,"Make_statement(X0,X1,T1)<-inv_Engage_in_negotiation(X0,X1,T0)",Make_statement
0.070062,0.970811,1.286958,1.035676,0.137992,4,29,1825,"Make_statement(X0,X1,T3)<-inv_Host_a_visit(X0,X1,T0)&inv_Demand(X1,X2,T1)&Make_an_appeal_or_request(X2,X1,T2)",Make_statement
