lift_score,conviction_score,confidence_score,rule_support,body_support,rule,head_rel
11.532357,0.000000,1.000000,   2,   2,"Make_statement(X0,X1,T3)<-Cooperate_economically(X0,X1,T0)&Criticize_or_denounce(X1,X2,T1)&inv_Appeal_for_intelligence(X2,X1,T2)",Make_statement
8.157033,0.913292,0.707317,  29,  41,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Give_ultimatum(X1,X2,T1)&inv_Express_intent_to_provide_humanitarian_aid(X2,X1,T2)",Make_statement
6.290377,0.913291,0.545455,  24,  44,"Make_statement(X0,X2,T3)<-inv_Yield(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
6.233707,0.913291,0.540541,  20,  37,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)&Make_an_appeal_or_request(X2,X1,T2)",Make_statement
5.766179,0.913291,0.500000,   1,   2,"Make_statement(X0,X2,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_empathetic_comment(X1,X0,T1)&Make_empathetic_comment(X0,X2,T2)",Make_statement
5.567345,0.913290,0.482759,  28,  58,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Investigate(X1,X2,T1)&inv_Accuse(X2,X1,T2)",Make_statement
5.381767,0.913290,0.466667,   7,  15,"Make_statement(X0,X1,T3)<-inv_Sign_formal_agreement(X0,X1,T0)&inv_Cooperate_economically(X1,X0,T1)&inv_Sign_formal_agreement(X0,X1,T2)",Make_statement
5.264772,0.913290,0.456522,  42,  92,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&Make_an_appeal_or_request(X2,X1,T2)",Make_statement
5.255252,0.913290,0.455696, 216, 474,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_negotiation(X1,X2,T1)&inv_Engage_in_negotiation(X2,X1,T2)",Make_statement
5.234590,0.913290,0.453905, 837,1844,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
4.862646,0.913290,0.421652, 148, 351,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Investigate(X1,X2,T1)&inv_Investigate(X2,X1,T2)",Make_statement
4.649651,0.913290,0.403183, 304, 754,"Make_statement(X0,X1,T1)<-Discuss_by_telephone(X0,X1,T0)",Make_statement
4.501936,0.913290,0.390374, 219, 561,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
4.076392,0.913290,0.353474, 117, 331,"Make_statement(X0,X2,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
3.844119,0.913289,0.333333,   6,  18,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X1,T2)",Make_statement
3.818534,0.913289,0.331115, 199, 601,"Make_statement(X0,X1,T1)<-Make_optimistic_comment(X0,X1,T0)",Make_statement
