kulczynski,IR_score,lift_score,conviction_score,confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.084009,0.985175,4.503418,1.15559,0.166113,1,6,737,"Make_an_appeal_or_request(X0,X2,T3)<-inv_Disapprove(X0,X1,T0)&Impose_administrative_sanctions(X1,X0,T1)&Make_an_appeal_or_request(X0,X2,T2)",Make_an_appeal_or_request
0.050676,0.974531,2.702045,1.06999,0.099602,1,10,737,"Make_an_appeal_or_request(X0,X1,T3)<-Make_an_appeal_or_request(X0,X1,T0)&Make_statement(X1,X2,T1)&inv_Make_a_visit(X2,X1,T2)",Make_an_appeal_or_request
0.073066,0.170352,2.298522,1.052525,0.085078,45,529,737,"Make_an_appeal_or_request(X0,X1,T1)<-Make_an_appeal_or_request(X0,X1,T0)",Make_an_appeal_or_request
0.043714,0.850126,2.179065,1.047464,0.080630,5,62,737,"Make_an_appeal_or_request(X0,X1,T1)<-Consider_policy_option(X0,X1,T0)",Make_an_appeal_or_request
0.043074,0.847799,2.144478,1.046007,0.079330,5,63,737,"Make_an_appeal_or_request(X0,X2,T2)<-Praise_or_endorse(X0,X1,T0)&inv_Coerce(X1,X2,T1)",Make_an_appeal_or_request
0.039813,0.934297,2.078494,1.04324,0.076570,2,26,737,"Make_an_appeal_or_request(X0,X1,T1)<-inv_Appeal_to_others_to_meet_or_negotiate(X0,X1,T0)",Make_an_appeal_or_request
0.041104,0.807882,2.001513,1.04003,0.074010,6,81,737,"Make_an_appeal_or_request(X0,X1,T1)<-Sign_formal_agreement(X0,X1,T0)",Make_an_appeal_or_request
0.03933,0.730815,1.831906,1.033027,0.067848,8,118,737,"Make_an_appeal_or_request(X0,X1,T1)<-Yield(X0,X1,T0)",Make_an_appeal_or_request
0.036866,0.74851,1.735254,1.029078,0.064304,7,109,737,"Make_an_appeal_or_request(X0,X1,T3)<-Make_an_appeal_or_request(X0,X1,T0)&Sign_formal_agreement(X1,X2,T1)&Sign_formal_agreement(X2,X1,T2)",Make_an_appeal_or_request
0.037431,0.716628,1.729309,1.028837,0.064043,8,125,737,"Make_an_appeal_or_request(X0,X3,T3)<-inv_Consult(X0,X1,T0)&inv_Bring_lawsuit_against(X1,X2,T1)&Bring_lawsuit_against(X2,X3,T2)",Make_an_appeal_or_request
