lift_score,conviction_score,confidence_score,rule_support,body_support,rule,head_rel
0.000077,0.000000,1.000000,   2,   2,"Make_statement(X0,X1,T3)<-Cooperate_economically(X0,X1,T0)&Criticize_or_denounce(X1,X2,T1)&inv_Appeal_for_intelligence(X2,X1,T2)",Make_statement
0.000054,-44344.905580,0.707317,  29,  41,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Give_ultimatum(X1,X2,T1)&inv_Express_intent_to_provide_humanitarian_aid(X2,X1,T2)",Make_statement
0.000042,-28553.828554,0.545455,  24,  44,"Make_statement(X0,X2,T3)<-inv_Yield(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.000042,-28248.440013,0.540541,  20,  37,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)&Make_an_appeal_or_request(X2,X1,T2)",Make_statement
0.000039,-25958.000000,0.500000,   1,   2,"Make_statement(X0,X2,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_empathetic_comment(X1,X0,T1)&Make_empathetic_comment(X0,X2,T2)",Make_statement
0.000037,-25092.751735,0.482759,  28,  58,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Investigate(X1,X2,T1)&inv_Accuse(X2,X1,T2)",Make_statement
0.000036,-24335.640210,0.466667,   7,  15,"Make_statement(X0,X1,T3)<-inv_Sign_formal_agreement(X0,X1,T0)&inv_Cooperate_economically(X1,X0,T1)&inv_Sign_formal_agreement(X0,X1,T2)",Make_statement
0.000035,-23881.371463,0.456522,  42,  92,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&Make_an_appeal_or_request(X2,X1,T2)",Make_statement
0.000035,-23845.130662,0.455696, 216, 474,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_negotiation(X1,X2,T1)&inv_Engage_in_negotiation(X2,X1,T2)",Make_statement
0.000035,-23766.927000,0.453905, 837,1844,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.000032,-22441.505806,0.421652, 148, 351,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Investigate(X1,X2,T1)&inv_Investigate(X2,X1,T2)",Make_statement
0.000031,-21747.034686,0.403183, 304, 754,"Make_statement(X0,X1,T1)<-Discuss_by_telephone(X0,X1,T0)",Make_statement
0.000030,-21290.102456,0.390374, 219, 561,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
0.000027,-20074.985383,0.353474, 117, 331,"Make_statement(X0,X2,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.000026,-19468.490266,0.333333,   6,  18,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X1,T2)",Make_statement
0.000026,-19403.933412,0.331115, 199, 601,"Make_statement(X0,X1,T1)<-Make_optimistic_comment(X0,X1,T0)",Make_statement
0.000025,-19217.927058,0.324641, 249, 767,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.000025,-19062.908037,0.319149,  15,  47,"Make_statement(X0,X2,T3)<-inv_Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.000023,-18629.733508,0.303318, 192, 633,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Consult(X2,X1,T2)",Make_statement
0.000023,-18569.946704,0.301075,  28,  93,"Make_statement(X0,X1,T1)<-Reject_proposal_to_meet,_discuss,_or_negotiate(X0,X1,T0)",Make_statement
0.000022,-18319.630192,0.291525, 172, 590,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Consult(X2,X1,T2)",Make_statement
0.000022,-18224.197364,0.287815, 137, 476,"Make_statement(X0,X1,T1)<-Make_pessimistic_comment(X0,X1,T0)",Make_statement
0.000022,-18088.114580,0.282457, 446,1579,"Make_statement(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.000022,-18057.739130,0.281250,   9,  32,"Make_statement(X0,X1,T1)<-Conduct_strike_or_boycott(X0,X1,T0)",Make_statement
