confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.497872,   2,   4,1330,"Make_statement(X0,X2,T3)<-Consult(X0,X1,T0)&inv_Discuss_by_telephone(X1,X0,T1)&Make_an_appeal_or_request(X0,X2,T2)",Make_statement
0.444234,   4,   9,1330,"Make_statement(X0,X1,T1)<-Mobilize_or_increase_police_power(X0,X1,T0)",Make_statement
0.428224,   3,   7,1330,"Make_statement(X0,X2,T3)<-inv_Express_intent_to_release_persons_or_property(X0,X1,T0)&Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.407314,  11,  27,1330,"Make_statement(X0,X1,T1)<-Use_tactics_of_violent_repression(X0,X1,T0)",Make_statement
1.000000,   3,   3,1330,"Make_statement(X0,X2,T2)<-Praise_or_endorse(X0,X1,T0)&Receive_deployment_of_peacekeepers(X1,X2,T1)",Make_statement
0.748936,   3,   4,1330,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Engage_in_negotiation(X1,X0,T1)&inv_Engage_in_diplomatic_cooperation(X0,X1,T2)",Make_statement
0.748936,   3,   4,1330,"Make_statement(X0,X3,T3)<-Praise_or_endorse(X0,X1,T0)&Use_unconventional_violence(X1,X2,T1)&inv_Make_optimistic_comment(X2,X3,T2)",Make_statement
0.715328,   5,   7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Appeal_for_economic_aid(X1,X2,T1)&inv_Use_tactics_of_violent_repression(X2,X1,T2)",Make_statement
0.571776,   4,   7,1330,"Make_statement(X0,X3,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Mediate(X2,X3,T2)",Make_statement
1.000000,   3,   3,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Demand_intelligence_cooperation(X1,X2,T1)&inv_Sexually_assault(X2,X1,T2)",Make_statement
0.748936,   3,   4,1330,"Make_statement(X0,X2,T3)<-Consult(X0,X1,T0)&Consult(X1,X0,T1)&Impose_embargo,_boycott,_or_sanctions(X0,X2,T2)",Make_statement
0.715328,   5,   7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Use_unconventional_violence(X1,X2,T1)&fight_with_small_arms_and_light_weapons(X2,X1,T2)",Make_statement
0.705843,  72, 102,1330,"Make_statement(X0,X1,T3)<-Refuse_to_yield(X0,X1,T0)&inv_Make_a_visit(X1,X2,T1)&inv_Host_a_visit(X2,X1,T2)",Make_statement
0.664773,   2,   3,1330,"Make_statement(X0,X2,T3)<-Demand(X0,X1,T0)&inv_Reject(X1,X0,T1)&inv_Reject(X0,X2,T2)",Make_statement
0.497872,   2,   4,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Praise_or_endorse(X2,X1,T2)",Make_statement
0.444515,  12,  27,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Make_an_appeal_or_request(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.769332,  10,  13,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Occupy_territory(X1,X2,T1)&inv_Mobilize_or_increase_armed_forces(X2,X1,T2)",Make_statement
0.664773,   2,   3,1330,"Make_statement(X0,X1,T3)<-inv_Consult(X0,X1,T0)&inv_Reduce_or_break_diplomatic_relations(X1,X2,T1)&inv_Make_statement(X2,X1,T2)",Make_statement
0.625532,   5,   8,1330,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Express_intent_to_provide_humanitarian_aid(X1,X2,T1)",Make_statement
0.625333,  20,  32,1330,"Make_statement(X0,X3,T3)<-Consider_policy_option(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&inv_Express_intent_to_cooperate(X2,X3,T2)",Make_statement
0.506155,  42,  83,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Criticize_or_denounce(X1,X2,T1)&Make_pessimistic_comment(X2,X1,T2)",Make_statement
0.500185,  23,  46,1330,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Provide_economic_aid(X1,X2,T1)&inv_Provide_economic_aid(X2,X1,T2)",Make_statement
0.500000,   3,   6,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Appeal_for_economic_aid(X1,X2,T1)&Criticize_or_denounce(X2,X1,T2)",Make_statement
1.000000,   5,   5,1330,"Make_statement(X0,X2,T3)<-Engage_in_symbolic_act(X0,X1,T0)&Make_statement(X1,X0,T1)&inv_Host_a_visit(X0,X2,T2)",Make_statement
0.699872,  28,  40,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_material_cooperation(X1,X2,T1)&Engage_in_material_cooperation(X2,X1,T2)",Make_statement
0.400341,   4,  10,1330,"Make_statement(X0,X2,T3)<-Accuse(X0,X1,T0)&Bring_lawsuit_against(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.664773,   2,   3,1330,"Make_statement(X0,X2,T3)<-Provide_military_aid(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.664773,   2,   3,1330,"Make_statement(X0,X1,T3)<-inv_Make_statement(X0,X1,T0)&inv_Accuse(X1,X2,T1)&inv_Praise_or_endorse(X2,X1,T2)",Make_statement
0.500852,   5,  10,1330,"Make_statement(X0,X3,T3)<-Praise_or_endorse(X0,X1,T0)&inv_Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1)&Demonstrate_military_or_police_power(X2,X3,T2)",Make_statement
0.500000,   4,   8,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Host_a_visit(X1,X2,T1)&Make_optimistic_comment(X2,X1,T2)",Make_statement
0.400341,   4,  10,1330,"Make_statement(X0,X1,T3)<-Engage_in_negotiation(X0,X1,T0)&Make_a_visit(X1,X0,T1)&inv_Engage_in_negotiation(X0,X1,T2)",Make_statement
0.856448,   6,   7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Impose_embargo,_boycott,_or_sanctions(X1,X0,T1)&Make_statement(X0,X1,T2)",Make_statement
0.835227,   5,   6,1330,"Make_statement(X0,X3,T3)<-Express_intent_to_provide_humanitarian_aid(X0,X1,T0)&inv_Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.681889,  15,  22,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&Use_unconventional_violence(X2,X1,T2)",Make_statement
0.461337,   6,  13,1330,"Make_statement(X0,X2,T3)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.428224,   3,   7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Express_intent_to_cooperate_militarily(X1,X2,T1)&Express_intent_to_cooperate_militarily(X2,X1,T2)",Make_statement
0.666667,  14,  21,1330,"Make_statement(X0,X3,T3)<-Engage_in_diplomatic_cooperation(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)&Mobilize_or_increase_armed_forces(X2,X3,T2)",Make_statement
0.497872,   2,   4,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Return,_release_person(s)(X2,X1,T2)",Make_statement
0.442371,  23,  52,1330,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.482678,  14,  29,1330,"Make_statement(X0,X2,T3)<-inv_Consult(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.497872,   2,   4,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&inv_Accuse(X2,X1,T2)",Make_statement
0.423107,  55, 130,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Threaten(X1,X2,T1)&Threaten(X2,X1,T2)",Make_statement
0.916746,  33,  36,1330,"Make_statement(X0,X2,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X2,T2)",Make_statement
0.500000,   3,   6,1330,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Appeal_for_change_in_leadership(X1,X2,T1)",Make_statement
0.799320,   4,   5,1330,"Make_statement(X0,X1,T3)<-Engage_in_diplomatic_cooperation(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&Engage_in_diplomatic_cooperation(X0,X1,T2)",Make_statement
1.000000,  14,  14,1036,"Consult(X0,X1,T3)<-inv_Engage_in_negotiation(X0,X1,T0)&inv_Protest_violently,_riot(X1,X2,T1)&Protest_violently,_riot(X2,X1,T2)",Consult
0.472327,  34,  72,1036,"Consult(X0,X1,T1)<-Meet_at_a_'third'_location(X0,X1,T0)",Consult
0.472327,  34,  72,1036,"Consult(X0,X1,T1)<-inv_Meet_at_a_'third'_location(X0,X1,T0)",Consult
0.459018, 224, 488,1036,"Consult(X0,X3,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&Discuss_by_telephone(X1,X2,T1)&Discuss_by_telephone(X2,X3,T2)",Consult
0.429237,  91, 212,1036,"Consult(X0,X1,T3)<-Meet_at_a_'third'_location(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Consult
0.615990,   8,  13,1036,"Consult(X0,X1,T3)<-inv_Consult(X0,X1,T0)&Make_statement(X1,X0,T1)&inv_Express_intent_to_cooperate(X0,X1,T2)",Consult
0.546688,  35,  64,1036,"Consult(X0,X2,T3)<-Make_a_visit(X0,X1,T0)&Host_a_visit(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X2,T2)",Consult
0.500000,  18,  36,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&Consult(X1,X0,T1)&inv_Express_intent_to_meet_or_negotiate(X0,X1,T2)",Consult
0.428571,  33,  77,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&inv_Express_intent_to_meet_or_negotiate(X0,X1,T2)",Consult
0.428398,  24,  56,1036,"Consult(X0,X1,T1)<-inv_Discuss_by_telephone(X0,X1,T0)",Consult
1.000000,   3,   3,1036,"Consult(X0,X1,T3)<-inv_Engage_in_negotiation(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&inv_Make_empathetic_comment(X2,X1,T2)",Consult
0.799320,   4,   5,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&inv_Express_intent_to_meet_or_negotiate(X0,X1,T2)",Consult
0.625532,   5,   8,1036,"Consult(X0,X2,T2)<-Discuss_by_telephone(X0,X1,T0)&inv_Halt_negotiations(X1,X2,T1)",Consult
0.547082,  64, 117,1036,"Consult(X0,X1,T3)<-inv_Meet_at_a_'third'_location(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&inv_Express_intent_to_meet_or_negotiate(X2,X1,T2)",Consult
0.460150,  23,  50,1036,"Consult(X0,X2,T3)<-Make_optimistic_comment(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&inv_Express_intent_to_meet_or_negotiate(X0,X2,T2)",Consult
0.425725,  20,  47,1036,"Consult(X0,X2,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&inv_Discuss_by_telephone(X0,X2,T2)",Consult
0.423052,  22,  52,1036,"Consult(X0,X1,T3)<-inv_Engage_in_negotiation(X0,X1,T0)&Consult(X1,X0,T1)&inv_Engage_in_negotiation(X0,X1,T2)",Consult
1.000000,   3,   3,1036,"Consult(X0,X1,T3)<-Make_statement(X0,X1,T0)&Engage_in_negotiation(X1,X0,T1)&Consult(X0,X1,T2)",Consult
0.695781,  16,  23,1036,"Consult(X0,X1,T3)<-Express_intent_to_cooperate(X0,X1,T0)&Appeal_for_release_of_persons_or_property(X1,X2,T1)&Criticize_or_denounce(X2,X1,T2)",Consult
0.538310,  14,  26,1036,"Consult(X0,X1,T3)<-Consult(X0,X1,T0)&Discuss_by_telephone(X1,X2,T1)&Express_intent_to_cooperate(X2,X1,T2)",Consult
0.509476,  27,  53,1036,"Consult(X0,X1,T3)<-Meet_at_a_'third'_location(X0,X1,T0)&inv_Engage_in_negotiation(X1,X0,T1)&inv_Engage_in_negotiation(X0,X1,T2)",Consult
0.497872,   2,   4,1036,"Consult(X0,X1,T3)<-Consult(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X1,T2)",Consult
0.436932,  45, 103,1036,"Consult(X0,X1,T3)<-inv_Meet_at_a_'third'_location(X0,X1,T0)&inv_Meet_at_a_'third'_location(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X1,T2)",Consult
0.430212,  37,  86,1036,"Consult(X0,X2,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X0,T1)&Consult(X0,X2,T2)",Consult
0.500000,   8,  16,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X0,T1)&Make_statement(X0,X1,T2)",Consult
0.466515,   7,  15,1036,"Consult(X0,X1,T3)<-inv_Consult(X0,X1,T0)&Demand(X1,X2,T1)&inv_Make_an_appeal_or_request(X2,X1,T2)",Consult
0.428398,  24,  56,1036,"Consult(X0,X1,T1)<-Discuss_by_telephone(X0,X1,T0)",Consult
0.799320,   4,   5,1036,"Consult(X0,X1,T3)<-Consult(X0,X1,T0)&Engage_in_negotiation(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X1,T2)",Consult
0.693316,   9,  13,1036,"Consult(X0,X2,T3)<-Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&Make_statement(X1,X0,T1)&inv_Express_intent_to_meet_or_negotiate(X0,X2,T2)",Consult
0.555766,   5,   9,1036,"Consult(X0,X1,T3)<-Engage_in_negotiation(X0,X1,T0)&inv_Host_a_visit(X1,X2,T1)&Make_statement(X2,X1,T2)",Consult
0.485036,  16,  33,1036,"Consult(X0,X1,T3)<-inv_Consult(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&Consult(X0,X1,T2)",Consult
0.436876,  38,  87,1036,"Consult(X0,X1,T3)<-Engage_in_negotiation(X0,X1,T0)&inv_Consult(X1,X0,T1)&inv_Consult(X0,X1,T2)",Consult
0.433775, 131, 302,1036,"Consult(X0,X2,T3)<-inv_Meet_at_a_'third'_location(X0,X1,T0)&inv_Meet_at_a_'third'_location(X1,X0,T1)&inv_Consult(X0,X2,T2)",Consult
0.571776,   4,   7,1036,"Consult(X0,X1,T3)<-inv_Consult(X0,X1,T0)&inv_Give_ultimatum(X1,X2,T1)&Threaten(X2,X1,T2)",Consult
0.545511,  30,  55,1036,"Consult(X0,X1,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&Consult(X1,X2,T1)&Discuss_by_telephone(X2,X1,T2)",Consult
0.448923,  22,  49,1036,"Consult(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&Meet_at_a_'third'_location(X2,X1,T2)",Consult
0.426049,  23,  54,1036,"Consult(X0,X2,T3)<-Consult(X0,X1,T0)&inv_Engage_in_negotiation(X1,X0,T1)&Consult(X0,X2,T2)",Consult
1.000000,   3,   3,1036,"Consult(X0,X1,T3)<-Halt_negotiations(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Engage_in_negotiation(X2,X1,T2)",Consult
1.000000,   7,   7,1036,"Consult(X0,X1,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&Make_statement(X1,X2,T1)&inv_Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X2,X1,T2)",Consult
0.835227,   5,   6,1036,"Consult(X0,X1,T3)<-Sign_formal_agreement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&inv_Engage_in_negotiation(X0,X1,T2)",Consult
0.545666,  12,  22,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&Consult(X1,X0,T1)&Express_intent_to_meet_or_negotiate(X0,X1,T2)",Consult
0.533485,   8,  15,1036,"Consult(X0,X1,T1)<-Express_intent_to_cooperate_economically(X0,X1,T0)",Consult
0.500000,   7,  14,1036,"Consult(X0,X1,T3)<-Sign_formal_agreement(X0,X1,T0)&inv_Criticize_or_denounce(X1,X2,T1)&inv_Make_optimistic_comment(X2,X1,T2)",Consult
0.497872,   2,   4,1036,"Consult(X0,X3,T3)<-Praise_or_endorse(X0,X1,T0)&inv_Express_intent_to_release_persons_or_property(X1,X2,T1)&Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X2,X3,T2)",Consult
0.497872,   2,   4,1036,"Consult(X0,X2,T3)<-Ease_administrative_sanctions(X0,X1,T0)&inv_Criticize_or_denounce(X1,X0,T1)&inv_Express_intent_to_cooperate(X0,X2,T2)",Consult
0.474304, 157, 331,1036,"Consult(X0,X3,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&inv_Discuss_by_telephone(X1,X2,T1)&inv_Express_intent_to_meet_or_negotiate(X2,X3,T2)",Consult
0.415100,  44, 106,1036,"Consult(X0,X2,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X0,T1)&inv_Consult(X0,X2,T2)",Consult
0.411824,   7,  17,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_cooperate(X0,X1,T0)&Consult(X1,X2,T1)&inv_Make_statement(X2,X1,T2)",Consult
1.000000,   3,   3,1036,"Consult(X0,X2,T3)<-Make_pessimistic_comment(X0,X1,T0)&inv_Criticize_or_denounce(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X2,T2)",Consult
0.700170,   7,  10,1036,"Consult(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X0,T1)&inv_Meet_at_a_'third'_location(X0,X1,T2)",Consult
0.614040,  70, 114,1036,"Consult(X0,X2,T3)<-inv_Discuss_by_telephone(X0,X1,T0)&inv_Discuss_by_telephone(X1,X0,T1)&inv_Discuss_by_telephone(X0,X2,T2)",Consult
0.466515,   7,  15,1036,"Consult(X0,X1,T3)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Occupy_territory(X1,X2,T1)&Occupy_territory(X2,X1,T2)",Consult
0.641310,  59,  92,1036,"Consult(X0,X1,T3)<-inv_Meet_at_a_'third'_location(X0,X1,T0)&inv_Meet_at_a_'third'_location(X1,X0,T1)&Consult(X0,X1,T2)",Consult
0.444234,   4,   9,1036,"Consult(X0,X1,T3)<-inv_Consult(X0,X1,T0)&inv_Consult(X1,X0,T1)&inv_Discuss_by_telephone(X0,X1,T2)",Consult
0.400000,   8,  20,1036,"Consult(X0,X2,T3)<-inv_Consult(X0,X1,T0)&Make_statement(X1,X0,T1)&inv_Express_intent_to_cooperate(X0,X2,T2)",Consult
