kulczynski,IR_score,lift_score,conviction_score,confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.280414,0.966502,7.016669,2.039816,0.548051,  17,  31,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&Use_unconventional_violence(X2,X1,T2)",Make_statement
0.266751,0.979081,6.734172,1.944864,0.525986,  10,  19,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.193166,0.952033,4.801785,1.475154,0.375053,  15,  40,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_optimistic_comment(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.214788,0.775419,4.777792,1.470744,0.373179,  75, 201,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)&inv_Engage_in_diplomatic_cooperation(X2,X1,T2)",Make_statement
0.183393,0.986538,4.657419,1.449009,0.363777,   4,  11,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Investigate(X2,X1,T2)",Make_statement
0.159959,0.976164,4.038204,1.346639,0.315412,   6,  19,1330,"Make_statement(X0,X2,T3)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.167151,0.895601,4.020088,1.343861,0.313997,  27,  86,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.158443,0.951375,3.941516,1.331946,0.307860,  12,  39,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Sign_formal_agreement(X1,X2,T1)&inv_Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X2,X1,T2)",Make_statement
0.190511,0.616845,3.848170,1.318061,0.300569, 107, 356,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.143085,0.991008,3.644641,1.288770,0.284672,   2,   7,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Express_intent_to_cooperate_militarily(X1,X2,T1)&Express_intent_to_cooperate_militarily(X2,X1,T2)",Make_statement
0.138476,0.971764,3.488112,1.267113,0.272446,   6,  22,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
0.241779,0.143203,3.486026,1.266829,0.272283, 281,1032,1330,"Make_statement(X0,X1,T1)<-Make_statement(X0,X1,T0)",Make_statement
0.144251,0.729558,3.145057,1.222104,0.245651,  57, 232,1330,"Make_statement(X0,X2,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.121207,0.905543,2.940018,1.196698,0.229636,  17,  74,1330,"Make_statement(X0,X1,T1)<-Make_optimistic_comment(X0,X1,T0)",Make_statement
0.132907,0.697320,2.844918,1.185269,0.222208,  58, 261,1330,"Make_statement(X0,X2,T3)<-inv_Host_a_visit(X0,X1,T0)&inv_Make_a_visit(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.131801,0.598646,2.652848,1.162841,0.207206,  75, 362,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Consult(X2,X1,T2)",Make_statement
0.102341,0.926539,2.514653,1.147221,0.196412,  11,  56,1330,"Make_statement(X0,X1,T1)<-inv_Discuss_by_telephone(X0,X1,T0)",Make_statement
0.110451,0.727386,2.414303,1.136139,0.188574,  43, 228,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&inv_Host_a_visit(X1,X2,T1)&inv_Make_a_visit(X2,X1,T2)",Make_statement
0.115326,0.447383,2.105906,1.103384,0.164486,  88, 535,1330,"Make_statement(X0,X1,T1)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)",Make_statement
0.084017,0.942172,2.083962,1.101125,0.162772,   7,  43,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Meet_at_a_'third'_location(X1,X2,T1)&Express_intent_to_meet_or_negotiate(X2,X1,T2)",Make_statement
0.079757,0.758855,1.782273,1.070982,0.139208,  27, 194,1330,"Make_statement(X0,X1,T1)<-Engage_in_negotiation(X0,X1,T0)",Make_statement
0.079757,0.758855,1.782273,1.070982,0.139208,  27, 194,1330,"Make_statement(X0,X1,T1)<-inv_Engage_in_negotiation(X0,X1,T0)",Make_statement
0.073176,0.903741,1.777510,1.070520,0.138836,  10,  72,1330,"Make_statement(X0,X1,T1)<-inv_Meet_at_a_'third'_location(X0,X1,T0)",Make_statement
0.067742,0.947904,1.686405,1.061746,0.131720,   5,  38,1330,"Make_statement(X0,X1,T3)<-Make_statement(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.086328,0.529067,1.671387,1.060314,0.130547,  56, 429,1330,"Make_statement(X0,X1,T1)<-inv_Host_a_visit(X0,X1,T0)",Make_statement
